,location,latitude,longitude,country
0,"Silver Spring, MD 20910, USA",38.9997621,-77.0240371,United States
1,"Ulverstone TAS, Australia",-41.1571818,146.1705057,Australia
2,"Tehuacán, Pue., México",18.46580115,-97.3978348,México
3,"Beaver, OH 45613, USA",39.0306626,-82.8247137,United States
4,"Cluj-Napoca, Rumanía",46.769379,23.5899542,România
5,"Al Wakra Rd, Doha, Qatar",25.2206248,51.5814302,قطر
6,"Tivat, Montenegro",42.4303762,18.6988104,Crna Gora / Црна Гора
7,"Sanford, Florida, United states",28.8117345,-81.2680223,United States
8,"Villeurbanne, France",45.7733573,4.8868454,France
9,"Summerville, GA 30747, USA",34.4743123,-85.34845905,United States
10,"Basavilbaso, Entre Ríos, Argentina",-32.3743512,-58.8830126,Argentina
11,"Lawrenceville, IL 62439, USA",38.7292138,-87.6816927,United States
12,"Tennessee, EE. UU.",35.7730076,-86.2820081,United States
13,"Townsend, MA, USA",35.6753657,-83.7557282,United States
14,"Addison, TX, USA",32.96047785,-96.83006731,United States
15,"Des Moines, IA 50309, USA",41.5910323,-93.6046655,United States
16,"Port Lavaca, TX 77979, USA",28.6149968,-96.6260892,United States
17,"Detroit, Michigan, United States",42.3315509,-83.0466403,United States
18,"Southlake, TX 76092, USA",32.9412363,-97.1341783,United States
19,Illinois,40.0796606,-89.4337288,United States
20,"Winnsboro, TX 75494, USA",32.9573449,-95.2902224,United States
21,"Duncan, OK, USA",34.5023029,-97.9578129,United States
22,"Downe, Greater London, United Kingdom",51.33697845,0.054586449,United Kingdom
23,"Chía, Cundinamarca, Colombia",4.8693988,-74.03646685,Colombia
24,"Valley Center, CA, USA",33.226193,-117.02913,United States
25,"Herreid, SD 57632, USA",45.834714,-100.069284,United States
26,"Boston, MA 02118, USA",42.3554334,-71.060511,United States
27,"Amouguer, Morocco",32.26827695,-4.860811873,Maroc / ⵍⵎⵖⵔⵉⴱ / المغرب
28,"Hyōgo Prefecture, Japan",34.914934,134.860666,日本
29,"Riohacha, La Guajira, Colombia",11.5352153,-72.9119566,Colombia
30,"Griffin, GA, USA",33.2467807,-84.2640904,United States
31,"Patos de Minas, Patos de Minas - MG, Brazil",-18.6041453,-46.5096698,Brasil
32,"Fraijanes, Guatemala",14.4621012,-90.4388234,Guatemala
33,"Jodhpur, Rajasthan, India",26.2967719,73.0351433,India
34,"Irthlingborough, Wellingborough, UK",52.298295,-0.6670511,United Kingdom
35,"Beechgrove, TN 37018, USA",35.6270164,-86.2402706,United States
36,"Jonestown, PA, USA",41.1264315,-76.30702727,United States
37,"Port Vila, Vanuatu",-17.7414972,168.3150163,Vanuatu
38,"07500 Manacor, Islas Baleares, España",39.56824244,3.209028136,España
39,"West Springfield, PA 16443, USA",41.9459582,-80.4740586,United States
40,"Ferndale, WA 98248, USA",48.8466698,-122.589723,United States
41,"Chigwell, Essex, UK",51.6228297,0.0805021,United Kingdom
42,"Chincha Alta 11702, Perú",-6.222695,-77.8739008,Perú
43,"Querétaro, Mexico",20.5927744,-100.3902245,México
44,"Hyannis, Barnstable, MA 02601, USA",41.6534847,-70.2823732,United States
45,"Cheshire, UK",53.2356521,-2.489152998,United Kingdom
46,"Portage, MI, USA",42.2011538,-85.5800022,United States
47,"Pearl, MS 39208, USA",32.2735792,-90.127881,United States
48,"5, San Isidro 15046, Perú",-12.0942857,-77.0240689,Perú
49,"Brooklyn, New York, United States",40.6526006,-73.9497211,United States
50,"Westbrook, ME 04092, USA",43.6763036,-70.3663874,United States
51,"Latrobe TAS 7307, Australia",-41.2333395,146.5417751,Australia
52,"Jatibonico, Cuba",21.9421689,-79.17144,Cuba
53,"Newton Aycliffe, UK",54.6218534,-1.5663624,United Kingdom
54,"Middletown, Ohio, United States",39.5150576,-84.3982763,United States
55,"Malambo, Atlantico, Colombia",10.8516448,-74.80559429,Colombia
56,"Kingston upon Thames, UK",51.4096275,-0.3062621,United Kingdom
57,"Haugesund, Norway",59.46824785,5.082761214,Norge
58,"Matlock, Matlock, Derbyshire DE4, UK",53.1346045,-1.5482603,United Kingdom
59,"Ferron, UT 84523, USA",39.0935829,-111.1332247,United States
60,"New Windsor, NY 12553, USA",41.4767605,-74.0237519,United States
61,"Yuba County, CA, USA",39.2839755,-121.3556818,United States
62,"Landers, CA 92285, USA",34.266114,-116.3930703,United States
63,"Chancay, Perú",-11.5627697,-77.2699958,Perú
64,"Nanuet, NY, USA",41.0903087,-74.0148524,United States
65,"Krugersdorp, Krugersdorp, 1739, South Africa",-26.1087799,27.7717397,South Africa
66,"La Paz, Entre Rios, Argentina",-30.7422896,-59.6439325,Argentina
67,"Alpharetta, Georgia, EE. UU.",34.0709576,-84.2747329,United States
68,"Comalcalco, Tab., México",18.2615076,-93.2231523,México
69,"Balatonendréd, Hungary",46.8362401,17.9765942,Magyarország
70,"Salamanca, Salamanca, Spain",40.9651572,-5.6640182,España
71,"Flatwoods, WV, USA",38.7231759,-80.6498017,United States
72,"Bucaramanga, Bucaramanga, Santander, Colombia",7.1172633,-73.1156668,Colombia
73,"DeSoto, TX, USA",32.5897831,-96.8570183,United States
74,"2 Calle, Guatemala",14.5741395,-90.5235053,Guatemala
75,"West New York, NJ 07093, USA",40.7856117,-74.0093129,United States
76,"Mossel Bay, South Africa",-34.1832022,22.1536248,South Africa
77,"Antalya, Provincia de Antalya, Turquía",36.107242,32.5640421,Türkiye
78,"Petal, MS 39465, USA",31.3465627,-89.2600605,United States
79,"Cunco, Araucania, Chile",-38.9328331,-72.0320492,Chile
80,"Garachico, Santa Cruz de Tenerife, España",28.373686,-16.7640491,España
81,"Paysandú 60000, Uruguay",-32.3217257,-58.0892136,Uruguay
82,"Nuevo Israel, Jal., Mexico",20.6982666,-103.2656253,México
83,"Napa, CA, USA",38.2971367,-122.2855293,United States
84,"Hereford, AZ 85615, USA",31.4384325,-110.0978554,United States
85,"Torrejón de Ardoz, Madrid, España",40.4587767,-3.4793343,España
86,"Nurota, Uzbekistan",40.5590414,65.6860362,Oʻzbekiston
87,"17100 Savona, Italy",44.30976169,8.473650329,Italia
88,"66170 Millas, France",42.68828728,2.701493464,France
89,"Jackson Heights, NY 11372, USA",40.7556561,-73.8857755,United States
90,"California city, United States",35.125801,-117.9859038,United States
91,"Valdivia, Los Ríos Region, Chile",-39.8141262,-73.2459859,Chile
92,"Booneville, MS 38829, USA",34.6580327,-88.5666451,United States
93,"Flowery Branch, GA, USA",34.1851017,-83.9251809,United States
94,"Lago de Ilopango, El Salvador",13.669405,-89.04910118,El Salvador
95,"Igualada, Barcelona, España",41.5790182,1.617346,España
96,"Chepo, Panamá",9.1741164,-79.0900045,Panamá
97,"Fullerton, California, United States",33.8708215,-117.9294165,United States
98,"Sandy Springs, GA, USA",33.9242688,-84.3785379,United States
99,"86300 Oulainen, Finland",64.26608381,24.82843167,Suomi / Finland
100,"María Grande, Entre Ríos, Argentina",-31.6647722,-59.9021724,Argentina
101,"Chornomorsk, Odessa Oblast, Ukraine, 68000",46.3020943,30.653466,Україна
102,"Kildare, Ireland",53.15436455,-6.818417566,Éire / Ireland
103,"Upper Marlboro, Maryland 20772, EE. UU.",38.8139804,-76.7575894,United States
104,"Hamilton, New Zealand",-37.7878809,175.281788,New Zealand / Aotearoa
105,"Lago Naur, Ciudad de México, CDMX, México",19.4470439,-99.1972034,México
106,"Lichfield, UK",52.68064,-1.824399172,United Kingdom
107,"35580 Playa Blanca, Las Palmas, Spain",28.8670593,-13.8295803,España
108,"Passau, Germany",48.5748229,13.4609744,Deutschland
109,"Tenerife, España",28.2935785,-16.62144712,España
110,"New Caney, TX 77357, USA",30.155216,-95.2113221,United States
111,"Spotsylvania, VA 22553, USA",38.1880936,-77.6741751,United States
112,"Tingo María, Rupa Rupa, Peru",-9.37314905,-76.00344099,Perú
113,"Chino Hills, California, EE. UU.",33.9926803,-117.760056,United States
114,"Gustavo A. Madero, Ciudad de México, CDMX, México",19.4838614,-99.1134723,México
115,"Corona, California, EE. UU.",33.8752945,-117.5664449,United States
116,"Kunkletown, PA 18058, USA",40.8476952,-75.4485665,United States
117,"Smithtown, NY, USA",40.8559314,-73.2006687,United States
118,"Koga, Ibaraki Prefecture, Japan",36.178025,139.7553638,日本
119,"Dübendorf, Switzerland",47.3968244,8.6183023,Schweiz/Suisse/Svizzera/Svizra
120,"New York, NY 10036, USA",40.782832,-73.978328,United States
121,"25280 Solsona, Lérida, España",41.9945275,1.517757074,España
122,"Portuguesa, Venezuela",8.96739065,-69.39173475,Venezuela
123,"Puente Alto, Puente Alto, Región Metropolitana de Santiago, Chile",-33.5913562,-70.5944307,Chile
124,"Johnsonville, SC 29555, USA",33.8179432,-79.4492228,United States
125,"Malbork, Poland",54.0287383,19.03939639,Polska
126,"Cluj-Napoca, Romania",46.769379,23.5899542,România
127,"Distrito Nacional, Santo Domingo, República Dominicana",18.4983811,-69.8922519,República Dominicana
128,"Srbobran, Serbia",45.5484758,19.7911219,Србија
129,"Evesham, Evesham, Worcestershire WR11, UK",52.0954879,-1.9343672,United Kingdom
130,"Dover, Delaware, United States",39.158168,-75.5243682,United States
131,"Mountain View, CA, USA",37.3893889,-122.0832101,United States
132,"Paradise, CA, USA",39.7596061,-121.6219177,United States
133,"Bratislava, Slovakia",48.1435149,17.108279,Slovensko
134,"Cospicua, Malta",35.8825817,14.522721,Malta
135,"Sparks, NV, USA",39.5404679,-119.7487235,United States
136,"Jln Besar, Singapore",1.3136025,103.8600655,Singapore
137,"Mesquite, TX, USA",32.7666103,-96.599472,United States
138,"Rock Creek, OH 44084, USA",41.660333,-80.860644,United States
139,"Orizaba, Ver., México",18.849722,-97.103611,México
140,"Lynn Haven, FL, USA",30.2454776,-85.648261,United States
141,"Risaralda, Colombia",5.2102948,-75.9842236,Colombia
142,"Fort Lauderdale, Florida, EE. UU.",26.1223084,-80.1433786,United States
143,"Dehesa de Campoamor, Alicante, Spain",37.9005304,-0.7575592,España
144,"Ridgeland, MS, USA",32.4284761,-90.1323087,United States
145,"Redmon, IL, USA",39.6453126,-87.8616975,United States
146,"Buin, Buin, Región Metropolitana, Chile",-33.7323649,-70.7284333,Chile
147,"Toronto, Ontario",43.6534817,-79.3839347,Canada
148,"Gardena, California, EE. UU.",33.8963593,-118.3053037,United States
149,"Thunder Bay, ON, Canada",49.809661,-88.4811791,Canada
150,"23400 Úbeda, Jaén, España",38.01350308,-3.372848214,España
151,"Agricultura 4-A, Ecatepec de Morelos, Méx., Mexico",19.6087712,-99.0471762,México
152,"Rocky River, OH 44116, USA",41.4756031,-81.8393034,United States
153,"Uzhhorod, Zakarpattia Oblast, Ukraine",48.6223732,22.3022569,Україна
154,"Camarillo, CA, USA",34.2176371,-119.0383541,United States
155,"Folkestone, UK",51.0791335,1.1794073,United Kingdom
156,"Neuquén, Neuquén Province, Argentina",-38.9519679,-68.0591741,Argentina
157,"León, Gto., México",21.1218598,-101.6825081,México
158,"Apple Valley, CA, USA",34.5008311,-117.1858759,United States
159,"Watsontown, PA 17777, USA",41.0844729,-76.8630726,United States
160,"Abraham Lincoln, Mao, Dominican Republic",19.547671,-71.0737249,República Dominicana
161,"Chiautempan, Tlax., México",19.28941395,-98.11725105,México
162,"Tamarac, FL, USA",26.2128609,-80.2497707,United States
163,"Umhlanga, South Africa",-29.73,31.0827778,South Africa
164,"Kailua-Kona, HI, USA",19.641941,-155.996933,United States
165,"Chennai, Tamil Nadu, India",13.0836939,80.270186,India
166,"Vigo, Pontevedra, España",42.2376602,-8.7247205,España
167,"Malecon, La Habana, Cuba",23.1418544,-82.3671224,Cuba
168,"Kenai, AK, USA",60.5544444,-151.258333,United States
169,"Surdulica, Serbia",42.6919329,22.1701473,Србија
170,"Neunkirchen, Germany",50.5456179,8.1025344,Deutschland
171,"Port Orange, FL, USA",29.10162805,-81.01059618,United States
172,"la Gina 24000, República Dominicana",18.7124969,-68.6133607,República Dominicana
173,"Coaldale, AB, Canada",49.7255,-112.6168425,Canada
174,"Shenzhen, Guangdong, China",22.5445741,114.0545429,中国
175,Hampton,37.0300969,-76.3452057,United States
176,"Nadi, Fiji",-17.7993389,177.4172058,Viti
177,"Fieldsboro, NJ 08505, USA",40.1364991,-74.7287714,United States
178,"Coro, Falcón, Venezuela",11.4055796,-69.6679115,Venezuela
179,"Montevideo, Uruguay",-34.9058916,-56.1913095,Uruguay
180,"Florence, AL, USA",34.79981,-87.677251,United States
181,"Central Visayas, Philippines",10.2611289,123.8693264,Pilipinas / Philippines
182,Kentuchy,17.9677766,-102.2197974,México
183,"Chincha Alta, Perú",-13.417488,-76.1325726,Perú
184,"Pomona, California, EE. UU.",34.0553813,-117.7517496,United States
185,"Eldorado, IL 62930, USA",37.8136583,-88.4381029,United States
186,"Fareham, UK",50.8526637,-1.1783134,United Kingdom
187,"Autryville, NC 28318, USA",34.9979453,-78.6425144,United States
188,"Rhinelander, WI 54501, USA",45.636623,-89.412075,United States
189,"Lacona, NY 13083, USA",43.643402,-76.068534,United States
190,"Ski, Norway",59.7199284,10.8382744,Norge
191,"1433 Radeče, Slovenia",46.06274736,15.1520085,Slovenija
192,"Moses Lake, WA 98837, USA",47.1301417,-119.278077,United States
193,"San José, Alajuelita, Costa Rica",9.9034817,-84.1063339,Costa Rica
194,"Quebec, Canadá",52.4760892,-71.8258668,Canada
195,"Apan, Hgo., Mexico",19.73175865,-98.48151054,México
196,"İzmir, Turkey",38.4224548,27.1310699,Türkiye
197,"Grimsby, ON, Canada",43.1932094,-79.5606922,Canada
198,"Bemidji, MN 56601, USA",47.4785418,-94.8907869,United States
199,"Washington D. C., Distrito de Columbia, EE. UU.",38.8983696,-77.0058628,United States
200,"Kenly, NC, USA",35.594919,-78.12342871,United States
201,"Centenario, Neuquén, Argentina",-38.9365022,-69.1991719,Argentina
202,"Hjo, Sweden",58.3,14.216667,Sverige
203,"Manaus, Manaus - AM, Brazil",-3.1316333,-59.9825041,Brasil
204,"Lérida, Tolima, Colombia",4.8609666,-74.9109405,Colombia
205,"Padre Hurtado, Santiago Metropolitan Region, Chile",-33.5673051,-70.8020467,Chile
206,"Faiyum Governorate, Egypt",29.340737,30.62010447,مصر
207,"Orlando, Florida, EE. UU.",28.5421109,-81.3790304,United States
208,"Penn Hills, PA, USA",40.4729398,-79.8176723,United States
209,"Royan, France",45.6245332,-1.0287636,France
210,"Puerto Montt, Los Lagos Region, Chile",-41.471798,-72.9395915,Chile
211,"Provo, Utah, EE. UU.",40.2337289,-111.6587085,United States
212,"Mazatlan, Sinaloa, Mexico",23.2313053,-106.4153144,México
213,"Belair - Parkside, Baltimore, MD, USA",39.3301488,-76.5683847,United States
214,"Girona, Province of Girona, Spain",38.05509525,-0.9425202,España
215,"Lilburn, Georgia 30047, EE. UU.",33.8901036,-84.1429719,United States
216,"Prescott, AZ, USA",34.5399962,-112.468761,United States
217,"Lomas de Zamora, Buenos Aires, Argentina",-34.7572582,-58.4026638,Argentina
218,"Middlesex, NJ, USA",40.4279708,-74.3963102,United States
219,"Lakewood, Ohio, United States",41.4819932,-81.7981908,United States
220,"Kirov, Russia",58.6035661,49.6666241,Россия
221,"Newcastle NSW, Australia",-32.9192953,151.7795348,Australia
222,"Queen Creek, AZ, USA",33.2483858,-111.634158,United States
223,"Cotacachi, Ecuador",0.3955234,-78.45070132,Ecuador
224,"Sylvania, Ohio, EE. UU.",41.7189392,-83.7129935,United States
225,"White Sulphur Springs, WV 24986, USA",37.7965149,-80.2975734,United States
226,"Antananarivo, Madagascar",-18.9100122,47.5255809,Madagasikara / Madagascar
227,"West Seneca, NY 14210, USA",42.8395833,-78.7541466,United States
228,"Buxton SK17, UK",53.2445244,-1.8773638,United Kingdom
229,"Weert, Netherlands",51.23558295,5.705079712,Nederland
230,"Jackson, Mississippi, United States",32.3086744,-90.1983063,United States
231,"Goodsprings, NV, USA",35.8324542,-115.4338295,United States
232,"Albuquerque, NM 87106, USA",35.0806662,-106.609832,United States
233,"Castletownroche, Co. Cork, Ireland",52.1727472,-8.4635069,Éire / Ireland
234,"Chancellor, SD 57015, USA",43.372118,-96.987179,United States
235,"Bruce, Mississippi, United States",33.9920553,-89.3489641,United States
236,"Neumünster, Alemania",54.0757442,9.9815377,Deutschland
237,"Greenwich, CT, USA",41.0264862,-73.6284598,United States
238,"Delaware, USA",38.6920451,-75.4013315,United States
239,"El Sobrante, California, EE. UU.",37.9744635,-122.3057294,United States
240,"Braymer, Missouri, United States",39.5869582,-93.796047,United States
241,"Portland, Tennessee 37148, EE. UU.",36.5817089,-86.5163833,United States
242,"Jackson, California, United States",38.3488024,-120.774101,United States
243,"Guatemala city, Guatemala",14.6222328,-90.5185188,Guatemala
244,"Steamboat Springs, CO 80487, USA",40.4848003,-106.8317359,United States
245,"Sterling, OK, USA",34.7503489,-98.1717131,United States
246,"Kent, WA, USA",47.3826903,-122.2270272,United States
247,"Winnsboro, LA 71295, USA",32.1618782,-91.7226934,United States
248,"Willow Grove, PA, USA",40.1507046,-75.11623056,United States
249,"London, Ontario, Canada",42.9832406,-81.243372,Canada
250,"Santa Rosa, Laguna, Philippines",14.3146042,121.1137466,Pilipinas / Philippines
251,"Pijijiapan, Chis., México",15.65367405,-93.1366253,México
252,"Fairfield, IA, USA",41.0072342,-91.9630039,United States
253,"Vejle, Denmark",55.7000057,9.5333238,Danmark
254,"Newcastle, New South Wales, Australia",-32.9192953,151.7795348,Australia
255,"Florida City, United States",25.4480101,-80.479102,United States
256,"Lismore NSW 2480, Australia",-28.79363905,153.2670868,Australia
257,"Mechanicsville, VA, USA",37.6276923,-77.3538133,United States
258,"Mayville, NY 14757, USA",42.253947,-79.504491,United States
259,"Pabellón de Arteaga, Ags., México",22.1049335,-102.3016245,México
260,"Mława, Poland",53.13419145,20.36288299,Polska
261,"East Ayrshire, UK",55.5,-4.25,United Kingdom
262,"Missouri City, Texas, United States",29.6185669,-95.5377215,United States
263,"Oran, Algeria",35.7032751,-0.6492976,Algérie / ⵍⵣⵣⴰⵢⴻⵔ / الجزائر
264,"Hattieville, AR 72063, USA",35.2875814,-92.7868322,United States
265,"Las Vegas, Nevada",36.1672559,-115.148516,United States
266,"Austintown, OH, USA",41.097507,-80.74414083,United States
267,"Mbabane, Eswatini",-26.325745,31.144663,eSwatini
268,"Metepec, State of Mexico, Mexico",19.25113375,-99.59372813,México
269,"Ashland, KY 41102, USA",38.4784144,-82.6379387,United States
270,"Tarneit VIC 3029, Australia",-37.8321522,144.69462,Australia
271,"Lake Grove, NY, USA",40.8528761,-73.1151102,United States
272,"Lake Alfred, FL 33850, USA",28.091963,-81.7234114,United States
273,"Kakopetria, Cyprus",34.98861895,32.90437705,Κύπρος - Kıbrıs
274,"Nivelles, Belgium",50.5976885,4.3235854,België / Belgique / Belgien
275,"Liverpool, UK",53.4071991,-2.99168,United Kingdom
276,"Washington, USA",38.8950368,-77.0365427,United States
277,"Río Cuarto, Córdoba, Argentina",-33.1237585,-64.3489782,Argentina
278,"Nutley, NJ, USA",40.8223223,-74.1598663,United States
279,"Puerto Peñasco, Sonora, Mexico",31.5301718,-113.3897189,México
280,"Sanderson, FL 32087, USA",30.2521786,-82.2728938,United States
281,"Conyers, Georgia",33.6676103,-84.0176904,United States
282,"Antlers, OK 74523, USA",34.2323263,-95.6204938,United States
283,"Kannapolis, NC 28083, USA",35.4874708,-80.621438,United States
284,"Monticello, IN 47960, USA",40.7453169,-86.7647343,United States
285,"Liverpool, England, United Kingdom",53.4071991,-2.99168,United Kingdom
286,"Stratford, NJ 08084, USA",39.8267807,-75.0154461,United States
287,"La Haya, Netherlands",52.0799838,4.3113461,Nederland
288,"Knoxville, PA 16928, USA",41.9572933,-77.4388719,United States
289,"Brooklyn Park, MN, USA",45.1004807,-93.3443585,United States
290,"Pearland, TX, USA",29.5639758,-95.2864299,United States
291,"Ludlow, California, United States",34.7218178,-116.1619558,United States
292,"Penal, Trinidad and Tobago",10.1684634,-61.4526506,Trinidad and Tobago
293,"Jesus María, Córdoba, Argentina",-30.9764132,-64.0957082,Argentina
294,"Quimbaya, Quindío, Colombia",4.6129774,-75.80224672,Colombia
295,"Carrollton, TX, USA",32.9537349,-96.8902816,United States
296,"Campo Grande, MS, Brazil",-20.4640173,-54.6162947,Brasil
297,"Pocatello, Idaho, United States",42.8620287,-112.450627,United States
298,"Arona, Santa Cruz de Tenerife, Spain",28.0996248,-16.6809103,España
299,"Pichincha, Ecuador",-0.0584893,-78.3284371,Ecuador
300,"Rome, Georgia, United States",34.257038,-85.1646726,United States
301,"Lake City, SC 29560, USA",33.8709959,-79.7553452,United States
302,"Bremen, Germany",53.0758196,8.8071646,Deutschland
303,"Texas, United States",31.2638905,-98.5456116,United States
304,"Valmiera, Latvia",57.5389148,25.4261688,Latvija
305,"Nectar, AL, USA",33.9598211,-86.6394367,United States
306,"Au Rosario, Santa Fe, Argentina",-32.9993364,-60.6162615,Argentina
307,"Livingston, TX 77351, USA",30.711029,-94.9329898,United States
308,"Santa Monica, CA, USA",34.0194704,-118.4912273,United States
309,"Meath, Co. Meath, Ireland",53.45224725,-6.916809519,Éire / Ireland
310,"Gorzów Wielkopolski, Poland",52.7309926,15.2400451,Polska
311,"Acámbaro, Gto., México",20.0291004,-100.7233311,México
312,"Olive Branch, MS, USA",34.9617605,-89.8295315,United States
313,"Los Tréboles 346, El Bosque, Región Metropolitana, Chile",-33.5585316,-70.6721899,Chile
314,"Chesterfield, VA, USA",37.3859982,-77.578509,United States
315,"Acworth, Georgia, United States",34.0659329,-84.6768796,United States
316,"Cherry Tree, Blackburn with Darwen, United Kingdom",53.7331819,-2.5186399,United Kingdom
317,"31020 Sernaglia della Battaglia TV, Italy",45.8747312,12.1331619,Italia
318,"Lakewood, WA, USA",47.1717649,-122.518458,United States
319,"Apple Valley, MN, USA",44.7319094,-93.21772,United States
320,"Buseck, Germany",50.6178665,8.7759513,Deutschland
321,"Auburndale, FL, USA",28.0652975,-81.7886906,United States
322,"Guasdualito 5063, Apure, Venezuela",7.236805,-70.7239981,Venezuela
323,"Teaneck, NJ, USA",40.8860164,-74.0072568,United States
324,"Regina, SK, Canada",50.44876,-104.61731,Canada
325,"72649 Wolfschlugen, Germany",48.65270745,9.290638341,Deutschland
326,"Puruándiro, Mich., México",20.1194479,-101.5406729,México
327,"Ashburn, Virginia, United States",39.0300191,-77.46964647,United States
328,"Cartwright, ND 58838, USA",47.8597415,-103.9263173,United States
329,"Essaouira, Morocco",31.5118281,-9.7620903,Maroc / ⵍⵎⵖⵔⵉⴱ / المغرب
330,"Erin, Palo Seco, Trinidad and Tobago",10.080582,-61.6176834,Trinidad and Tobago
331,"Waterloo, SC 29384, EE. UU.",34.3515126,-82.0592766,United States
332,"Chester, Chester, Cheshire West and Chester, UK",53.1908873,-2.8908955,United Kingdom
333,"Atascosa, TX 78002, USA",28.8554434,-98.5316314,United States
334,"La Victoria, Ecuador",-0.9183596,-78.6960015,Ecuador
335,"Irving, TX, USA",32.8295183,-96.9442177,United States
336,"Livingston, NJ 07039, USA",40.7959335,-74.3148713,United States
337,"Springville, UT, USA",40.1652447,-111.6114726,United States
338,"Lockhart, TX 78644, USA",29.8832105,-97.6736292,United States
339,"Carrollton, Texas. United States",32.9537349,-96.8902816,United States
340,"Cúcuta, Cucuta, North Santander, Colombia",7.8796737,-72.4982022,Colombia
341,"Pennington Gap, VA 24277, USA",36.7584219,-83.0271115,United States
342,"Hartford, CT 06114, USA",41.764582,-72.6908547,United States
343,"Agua Prieta, Son., México",31.3179664,-109.5425509,México
344,"Blackwell, OK 74631, USA",36.8018163,-97.2861191,United States
345,"163 56 Spånga, Sweden",59.38363094,17.90390044,Sverige
346,"Medicine Hat, AB, Canada",50.04303,-110.679016,Canada
347,"Crescent City, CA, USA",41.755948,-124.201747,United States
348,"Weston, Florida, EE. UU.",26.1003392,-80.399513,United States
349,"Whitworth, Rochdale OL12, UK",53.6393223,-2.1744559,United Kingdom
350,"Canton, Ohio, United States",40.7985464,-81.3749508,United States
351,"Mansfield, MO 65704, USA",37.1067189,-92.5807231,United States
352,"Yorkton, SK, Canada",51.212045,-102.461243,Canada
353,"South Gate, California, EE. UU.",33.9463456,-118.200981,United States
354,"Norwood Young America, MN, USA",44.7735732,-93.9216348,United States
355,"Mandaue City, Cebu, Philippines",10.33508695,123.9440671,Pilipinas / Philippines
356,"Santa María de Pantasma, Nicaragua",13.3485854,-85.9431526,Nicaragua
357,"Grandview, TX 76050, USA",32.2666506,-97.1785429,United States
358,"Falcón, Venezuela",11.277598,-69.58309158,Venezuela
359,"Wairoa, New Zealand",-37.7398071,176.0826134,New Zealand / Aotearoa
360,"47100 Tordesillas, Valladolid, España",41.50385355,-4.991774707,España
361,"Alliston, New Tecumseth, ON, Canada",44.1539369,-79.8692321,Canada
362,"Shreveport, LA 71105, USA",32.4707862,-93.7559378,United States
363,"Zanzibar, Tanzania",-6.09994425,39.32094432,Tanzania
364,"Zamora, Michoacán, Mexico",20.0290033,-102.2712687,México
365,"Strong, ME 04983, USA",44.8075611,-70.2206434,United States
366,"Ponoka, AB, Canada",52.6794142,-113.5871706,Canada
367,"Marathon, FL 33050, USA",24.7137524,-81.0903512,United States
